Fecha,Temp(C),SensTerm(C),TempApar(C),PtoRocio(C),Hum(%),Solar(Wm2),UV,PresRel(hPa),PresAbs(hPa),Viento(kmh),Rafaga(kmh),Dir(deg),Lluvia_Intens(mmh),Lluvia_1h(mm),Lluvia_Dia(mm),Lluvia_Ev(mm),Lluvia_Sem(mm),Lluvia_Mes(mm),Lluvia_Anio(mm)
2026-09-10 00:01,12.9,12.9,11.3,9.5,80,0.0,0,1013.1,1008.0,7.6,9.4,27,0,0,0,0,0,6.1,241.6
2026-09-10 00:10,12.8,12.8,11.9,9.4,80,0.0,0,1013.3,1008.2,4.0,5.4,53,0,0,0,0,0,6.1,241.6
2026-09-10 00:20,12.4,12.4,11.1,9.1,80,0.0,0,1013.2,1008.1,5.4,7.2,28,0,0,0,0,0,6.1,241.6
2026-09-10 00:31,12.4,12.4,10.9,9.2,81,0.0,0,1013.6,1008.5,6.5,7.2,21,0,0,0,0,0,6.1,241.6
2026-09-10 00:40,12.3,12.3,10.8,8.9,80,0.0,0,1013.2,1008.1,6.1,7.2,43,0,0,0,0,0,6.1,241.6
2026-09-10 00:50,12.3,12.3,11.3,8.9,80,0.0,0,1013.5,1008.4,4.0,5.4,30,0,0,0,0,0,6.1,241.6
2026-09-10 01:01,12.0,12.0,10.6,9.0,82,0.0,0,1013.4,1008.3,6.1,7.2,91,0,0,0,0,0,6.1,241.6
2026-09-10 01:10,12.0,12.0,11.3,8.8,81,0.0,0,1013.5,1008.4,2.5,1.8,31,0,0,0,0,0,6.1,241.6
2026-09-10 01:20,11.7,11.7,10.2,8.8,82,0.0,0,1013.5,1008.4,6.5,9.4,35,0,0,0,0,0,6.1,241.6
2026-09-10 01:31,11.5,11.5,10.3,8.7,83,0.0,0,1013.3,1008.2,4.7,5.4,37,0,0,0,0,0,6.1,241.6
2026-09-10 01:40,11.3,11.3,10.2,8.5,83,0.0,0,1013.4,1008.3,4.0,5.4,34,0,0,0,0,0,6.1,241.6
2026-09-10 01:50,11.2,11.2,10.4,8.4,83,0.0,0,1013.4,1008.3,2.2,1.8,70,0,0,0,0,0,6.1,241.6
2026-09-10 02:01,11.0,11.0,10.0,8.4,84,0.0,0,1013.7,1008.6,3.2,5.4,39,0,0,0,0,0,6.1,241.6
