Fecha,Temp(C),SensTerm(C),TempApar(C),PtoRocio(C),Hum(%),Solar(Wm2),UV,PresRel(hPa),PresAbs(hPa),Viento(kmh),Rafaga(kmh),Dir(deg),Lluvia_Intens(mmh),Lluvia_1h(mm),Lluvia_Dia(mm),Lluvia_Ev(mm),Lluvia_Sem(mm),Lluvia_Mes(mm),Lluvia_Anio(mm)
2026-07-10 00:01,10.3,10.3,9.2,7.2,81,0.0,0,1013.6,1008.5,2.2,3.6,221,0,0,0,0,7.9,7.9,167.4
2026-07-10 00:05,10.3,10.3,8.6,7.2,81,0.0,0,1014.0,1008.9,5.4,5.4,244,0,0,0,0,7.9,7.9,167.4
2026-07-10 00:10,10.2,10.2,9.3,7.3,82,0.0,0,1014.2,1009.1,1.4,3.6,206,0,0,0,0,7.9,7.9,167.4
2026-07-10 00:15,10.0,10.0,9.1,7.1,82,0.0,0,1014.2,1009.1,1.1,1.8,205,0,0,0,0,7.9,7.9,167.4
2026-07-10 00:20,9.6,9.6,8.5,6.9,83,0.0,0,1014.5,1009.4,1.8,1.8,221,0,0,0,0,7.9,7.9,167.4
