Fecha,Temp(C),SensTerm(C),TempApar(C),PtoRocio(C),Hum(%),Solar(Wm2),UV,PresRel(hPa),PresAbs(hPa),Viento(kmh),Rafaga(kmh),Dir(deg),Lluvia_Intens(mmh),Lluvia_1h(mm),Lluvia_Dia(mm),Lluvia_Ev(mm),Lluvia_Sem(mm),Lluvia_Mes(mm),Lluvia_Anio(mm)
2026-09-06 00:01,4.6,2.3,1.2,2.2,84,0.0,0,1030.0,1024.9,9.4,13.0,173,0,0,0,0,0,6.1,241.6
2026-09-06 00:10,4.5,3.0,1.6,2.2,85,0.0,0,1030.1,1025.0,6.5,9.4,196,0,0,0,0,0,6.1,241.6
2026-09-06 00:20,4.3,1.6,0.4,1.8,84,0.0,0,1030.2,1025.1,11.2,13.0,198,0,0,0,0,0,6.1,241.6
2026-09-06 00:31,4.3,1.4,0.3,1.8,84,0.0,0,1030.4,1025.3,11.9,14.8,204,0,0,0,0,0,6.1,241.6
