Fecha,Temp(C),SensTerm(C),TempApar(C),PtoRocio(C),Hum(%),Solar(Wm2),UV,PresRel(hPa),PresAbs(hPa),Viento(kmh),Rafaga(kmh),Dir(deg),Lluvia_Intens(mmh),Lluvia_1h(mm),Lluvia_Dia(mm),Lluvia_Ev(mm),Lluvia_Sem(mm),Lluvia_Mes(mm),Lluvia_Anio(mm)
2026-07-20 00:01,10.2,10.2,6.8,8.0,86,0.0,0,1008.8,1003.7,14.8,16.6,134,0,0,0,0,0,11.4,170.9
2026-07-20 00:05,10.2,10.2,7.5,8.0,86,0.0,0,1008.7,1003.6,11.5,13.0,127,0,0,0,0,0,11.4,170.9
2026-07-20 00:10,10.1,10.1,6.7,7.9,86,0.0,0,1008.7,1003.6,15.1,18.4,155,0,0,0,0,0,11.4,170.9
2026-07-20 00:15,10.1,10.1,6.7,7.9,86,0.0,0,1008.7,1003.6,15.1,16.6,145,0,0,0,0,0,11.4,170.9
2026-07-20 00:20,10.0,8.2,6.9,7.8,86,0.0,0,1008.8,1003.7,13.0,13.0,149,0,0,0,0,0,11.4,170.9
