Fecha,Temp(C),SensTerm(C),TempApar(C),PtoRocio(C),Hum(%),Solar(Wm2),UV,PresRel(hPa),PresAbs(hPa),Viento(kmh),Rafaga(kmh),Dir(deg),Lluvia_Intens(mmh),Lluvia_1h(mm),Lluvia_Dia(mm),Lluvia_Ev(mm),Lluvia_Sem(mm),Lluvia_Mes(mm),Lluvia_Anio(mm)
2026-08-06 00:01,13.6,13.6,12.7,11.8,89,0.0,0,1004.3,999.2,7.6,7.2,118,0,0,0,0,0,0,195.6
2026-08-06 00:05,13.6,13.6,12.2,11.8,89,0.0,0,1004.4,999.3,10.1,11.2,105,0,0,0,0,0,0,195.6
2026-08-06 00:10,13.6,13.6,12.2,11.8,89,0.0,0,1004.7,999.6,10.1,11.2,105,0,0,0,0,0,0,195.6
2026-08-06 00:15,13.6,13.6,12.2,11.8,89,0.0,0,1004.7,999.6,10.1,11.2,105,0,0,0,0,0,0,195.6
2026-08-06 00:20,13.6,13.6,13.7,11.8,89,0.0,0,1004.9,999.8,2.2,1.8,153,0,0,0,0,0,0,195.6
2026-08-06 00:25,13.6,13.6,13.6,11.8,89,0.0,0,1004.6,999.5,2.9,3.6,145,0,0,0,0,0,0,195.6
2026-08-06 00:31,13.6,13.6,13.6,11.8,89,0.0,0,1004.7,999.6,2.9,3.6,145,0,0,0,0,0,0,195.6
2026-08-06 00:35,13.6,13.6,13.7,12.0,90,0.0,0,1004.7,999.6,2.5,3.6,151,0,0,0,0,0,0,195.6
2026-08-06 00:40,13.6,13.6,13.4,12.0,90,0.0,0,1004.2,999.1,4.0,3.6,161,0,0,0,0,0,0,195.6
2026-08-06 00:45,13.6,13.6,13.4,12.0,90,0.0,0,1004.4,999.3,4.0,3.6,161,0,0,0,0,0,0,195.6
2026-08-06 00:50,13.5,13.5,13.7,11.9,90,0.0,0,1004.9,999.8,2.2,1.8,125,0,0,0,0,0,0,195.6
2026-08-06 00:55,13.5,13.5,13.7,11.9,90,0.0,0,1004.7,999.6,2.2,1.8,125,0,0,0,0,0,0,195.6
2026-08-06 01:01,13.5,13.5,13.1,11.9,90,0.0,0,1004.7,999.6,5.4,5.4,109,0,0,0,0,0,0,195.6
2026-08-06 01:05,13.4,13.4,12.5,11.8,90,0.0,0,1004.2,999.1,7.6,9.4,114,0,0,0,0,0,0,195.6
2026-08-06 01:10,13.4,13.4,13.1,11.9,91,0.0,0,1004.2,999.1,5.0,5.4,116,0,0,0,0,0,0,195.6
2026-08-06 01:15,13.3,13.3,12.3,11.8,91,0.0,0,1004.1,999.0,7.9,9.4,109,0,0,0,0,0,0,195.6
2026-08-06 01:20,13.3,13.3,12.3,11.8,91,0.0,0,1003.8,998.7,7.9,9.4,136,0,0,0,0,0,0,195.6
2026-08-06 01:25,13.2,13.2,12.1,11.9,92,0.0,0,1003.8,998.7,9.0,11.2,122,0,0,0,0,0,0,195.6
2026-08-06 01:30,13.2,13.2,11.9,11.9,92,0.0,0,1003.9,998.8,9.7,11.2,90,0,0,0,0,0,0,195.6
